3	23	2	11	15	35	0	0	1	0	0	0	0	2	7	3	1	1	2	1	1	0	0	0	0	0	0
4	20	2	10	15	9	0	0	0	0	1	0	0	4	1	3	1	1	4	1	1	0	0	0	0	2.5	3
5	26	1	11	16	40	0	0	1	0	0	0	0	2	1	4	1	1	2	2	1	0	0	0	0	0	0
7	23	2	10	15	60	0	0	1	0	0	0	0	2	1	2	2	2	2	3	1	2	1	1	1	2	2
8	26	2	10	14	40	0	0	0	0	1	0	0	4	1	2	3	3	4	2	1	2	1	1	1	1	1
13	21	2	10	15	0	0	0	0	0	1	0	0	4	0	1	2	2	4	1	1	0	0	0	0	2	2
14	23	1	11	15	73	0	0	1	0	0	0	0	2	7	2	1	1	2	3	1	0	0	0	0	0	0
15	34	1	11	16	55	0	0	0	0	1	0	0	4	1	3	1	1	4	3	2	0	0	0	0	0	0
16	22	2	12	16	40	0	0	1	1	0	0	1	2	1	1	1	1	6	2	1	6	3	3	3	5	5
18	31	1	11	15	60	0	0	1	0	0	0	0	2	1	1	2	1	2	3	2	0	0	0	0	0	0
20	19	2	10	14	40	1	1	0	0	0	0	0	1	1	3	1	2	1	2	1	0	0	0	0	0	0
21	26	2	12	17	40	1	1	0	0	0	0	0	1	1	2	4	2	1	2	1	0	0	0	0	0	0
22	18	2	11	16	40	0	0	0	0	1	0	0	4	0	3	2	2	4	2	1	0	0	0	0	5.5	6
23	26	2	10	14	50	0	1	1	1	0	0	1	2	1	3	2	1	6	3	1	2	0	1	0	1	1
24	32	1	11	15	15	1	1	0	0	0	0	0	1	7	2	1	2	1	1	2	0	0	0	0	0	0
25	22	1	12	18	18	1	1	0	0	0	0	0	1	1	2	1	2	1	1	1	2	1	1	1	2	2
26	17	1	12	16	40	1	1	0	0	0	0	0	1	0	1	1	1	1	2	1	0	0	0	0	0	0
27	23	2	12	18	40	0	0	0	0	1	0	0	4	0	5	4	2	4	2	1	0	0	0	0	9.5	10
28	24	2	11	15	40	1	0	0	0	0	1	0	5	0	2	4	2	5	2	1	2	1	1	1	1	1
29	20	2	10	15	22	0	1	0	0	0	0	0	1	1	2	2	2	1	1	1	6	1.5	2.5	2	3.5	4
30	25	2	12	17	40	0	0	1	0	0	0	0	2	1	3	2	1	2	2	1	0	0	0	0	2	2
31	33	1	10	17	7	1	0	0	0	0	1	0	5	0	2	2	1	5	1	2	2	0.333333	0.333333	1	0.333333333	1
32	25	2	10	14	28	1	1	0	0	0	1	1	5	1	3	3	2	6	1	1	6	1.33333	1.33333	3	1.666666667	4
33	20	2	11	15	40	0	0	1	0	0	0	0	2	1	4	2	3	2	2	1	0	0	0	0	1	1
35	22	1	11	16	40	0	1	0	0	0	0	0	1	1	3	3	2	1	2	1	12	4.5	5.5	5	5.5	6
36	21	1	10	15	40	0	0	0	0	0	1	0	4	1	3	1	2	5	2	1	6	3	3	3	6	6
37	24	2	10	14	40	1	0	0	0	0	1	0	5	1	2	2	3	5	2	1	42	11.8333	16.8333	16	22.66666667	31
38	22	1	12	18	40	1	0	0	1	0	0	0	1	7	2	1	2	3	2	1	0	2	0	2	3	3
39	23	2	10	16	18	1	0	0	0	0	1	0	5	1	2	1	2	5	1	1	0	0	0	0	1	1
40	27	1	12	17	50	0	0	0	0	1	0	0	4	1	3	3	3	4	3	1	14	7	7	7	16.75	20
41	23	2	12	17	40	1	0	0	0	0	1	0	5	1	1	2	2	5	2	1	0	1	0	1	1	1
42	19	1	12	18	40	1	0	0	1	0	0	0	1	1	1	4	2	3	2	1	2	2	1	2	2	2
43	27	2	10	14	40	0	0	0	0	1	0	0	4	1	3	1	1	4	2	1	6	0	3	0	6	6
44	23	2	12	17	40	0	0	0	0	1	0	0	4	0	2	2	2	4	2	1	0	0	0	0	0.25	1
